# UnderGround station/platform depth anchors
#
# Goal: provide Z anchors for a depth-aware network model.
#
# Notes:
# - There is no single open official dataset with platform depths for the entire Underground.
# - This table is intended to be curated over time with citations.
# - depth_m is "metres below ground" (positive number). If unknown, leave blank.
# - Prefer NaPTAN station ids (TfL uses these as naptanId for Tube stations, e.g. 940GZZLUOXC).
#
# Coverage:
# - Victoria line: complete (16 stations)
# - Bakerloo line: partial (in progress)
# - Central line: partial (in progress)
# - Jubilee, Northern, Piccadilly: TODO (research from Wikipedia/TfL archives)
#
# Columns:
# naptan_id,name,depth_m,source_url,notes
naptan_id,name,depth_m,source_url,notes
940GZZLUBLR,Blackhorse Road Underground Station,12,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUBXN,Brixton Underground Station,14,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUEUS,Euston Underground Station,25,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUFPK,Finsbury Park Underground Station,25,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUGPK,Green Park Underground Station,18,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUHAI,Highbury & Islington Underground Station,34,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUKSX,King's Cross St. Pancras Underground Station,17,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUOXC,Oxford Circus Underground Station,27,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUPCO,Pimlico Underground Station,5,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUSVS,Seven Sisters Underground Station,11,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUSKW,Stockwell Underground Station,6,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUTMH,Tottenham Hale Underground Station,11,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUVXL,Vauxhall Underground Station,4,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUVIC,Victoria Underground Station,5,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUWWL,Walthamstow Central Underground Station,24,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
940GZZLUWRR,Warren Street Underground Station,27,https://content.tfl.gov.uk/bakerloo-central-victoria-lines-tube-depths.pdf,depth-diagrams-pdf
# Bakerloo line (southbound from Harrow & Wealdstone)
