# Thames Tideway Tunnel (Super Sewer) Route Waypoints
#
# 25km tunnel from Acton to Abbey Mills beneath the River Thames
# Completed 2024, opened May 2025
# Depth: 31m (Acton) to 67m (Abbey Mills)
#
# Points in route-sequence order (west to east)
# MAIN BORE ONLY — Greenwich/Frogmore spurs handled separately in tideway.js
# Earl, Deptford, Greenwich CSOs connect via the Greenwich Connection spur
# Dormay, KGP connect via the Frogmore Connection spur
#
# Section boundaries (for variable tunnel diameter):
#   West (Acton → Carnwath): 6.5m ID → radius 3.25m
#   West-Central (Carnwath → Kirtling): 7.2m ID → radius 3.6m
#   East-Central (Kirtling → Chambers): 7.2m ID → radius 3.6m
#   East (Chambers → Abbey Mills): 7.2m ID → radius 3.6m
#
# Columns: id,name,depth_m,lat,lon,section,notes
ttw-acton,Acton Storm Tanks,31,51.5057,-0.2674,west,Western terminus
ttw-hammersmith,Hammersmith PS,33,51.4876,-0.2290,west,CSO shaft
ttw-barn-elms,Barn Elms,34,51.4735,-0.2145,west,CSO shaft
ttw-putney,Putney Embankment,36,51.4665,-0.2105,west,Foreshore CSO
ttw-carnwath,Carnwath Road Riverside,42,51.4717,-0.1870,west,Main drive — SECTION BOUNDARY
ttw-falconbrook,Falconbrook PS,40,51.4710,-0.1730,central,Battersea CSO
ttw-cremorne,Cremorne Wharf,42,51.4790,-0.1730,central,Chelsea CSO
ttw-chelsea,Chelsea Embankment,45,51.4850,-0.1600,central,Foreshore CSO
ttw-kirtling,Kirtling Street,48,51.4785,-0.1420,central,Central main drive — SECTION BOUNDARY
ttw-heathwall,Heathwall PS,46,51.4760,-0.1360,central,CSO large shaft
ttw-albert,Albert Embankment,48,51.4920,-0.1215,central,South bank CSO
ttw-victoria,Victoria Embankment,51,51.5075,-0.1190,central,North bank CSO
ttw-blackfriars,Blackfriars Bridge,53,51.5095,-0.1050,central,Largest CSO — Fleet intercept
ttw-chambers,Chambers Wharf,58,51.5010,-0.0745,east,Main drive — SECTION BOUNDARY
ttw-kemp,King Edward Memorial Park,60,51.5095,-0.0490,east,Deepest CSO shaft
ttw-limehouse,Limehouse Reach,50,51.5120,-0.0330,east,Route waypoint
ttw-abbey-mills,Abbey Mills PS,67,51.5305,0.0030,east,Eastern terminus — deepest point
